t,prob_easy,comp_easy,prob_medium,comp_medium,prob_hard,comp_hard
0,0.6556798922918768,0.6640625,0.3284468333089007,0.3125,0.015873274399222478,0.0234375
1,0.6550930777951883,0.640625,0.3290934597551999,0.3515625,0.015813462449611952,0.0078125
2,0.654505778350866,0.6328125,0.32974049981726067,0.34375,0.015753721831873443,0.0234375
3,0.6539175157681714,0.6640625,0.3303883613464937,0.3125,0.01569412288533493,0.0234375
4,0.653327819218731,0.734375,0.3310374459105503,0.2578125,0.015634734870718706,0.0078125
5,0.6527362252214731,0.6640625,0.3316881488012423,0.3359375,0.015575625977284678,0.0
6,0.652142277621815,0.6171875,0.33234085904548316,0.3515625,0.015516863332701828,0.03125
7,0.6515455275652665,0.7421875,0.3329959594191619,0.25,0.015458513015571685,0.0078125
8,0.6509455334656151,0.703125,0.3336538264638566,0.28125,0.015400640070528292,0.015625
9,0.6503418609678628,0.703125,0.3343148305062963,0.2734375,0.015343308525840857,0.0234375
10,0.6497340829060803,0.703125,0.33497933568047344,0.2890625,0.015286581413446264,0.0078125
11,0.6491217792563502,0.6953125,0.33564769995230886,0.28125,0.015230520791340975,0.0234375
12,0.648504537084969,0.671875,0.33632027514676777,0.3125,0.015175187768263277,0.015625
13,0.6478819504920815,0.6875,0.33699740697731917,0.3125,0.015120642530599254,0.0
14,0.6472536205509202,0.6015625,0.33767943507763176,0.3828125,0.015066944371448059,0.015625
15,0.6466191552428253,0.6796875,0.3383666930353899,0.3046875,0.015014151721784792,0.015625
16,0.6459781693882257,0.6640625,0.3390595084281128,0.3203125,0.01496232218366145,0.015625
17,0.645330284573756,0.640625,0.3397582028608541,0.3515625,0.014911512565389997,0.0078125
18,0.6446751290756944,0.59375,0.3404630920056519,0.390625,0.014861778918653827,0.015625
19,0.6440123377799046,0.640625,0.34117448564259784,0.3515625,0.014813176577497639,0.0078125
20,0.6433415520984672,0.5859375,0.34189268770238407,0.390625,0.014765760199148619,0.0234375
21,0.64266241988319,0.625,0.34261799631018464,0.34375,0.014719583806625445,0.03125
22,0.6419745953361871,0.65625,0.3433507038307181,0.34375,0.014674700833094896,0.0
23,0.641277738917724,0.6875,0.34409109691433615,0.3046875,0.014631164167939878,0.0078125
24,0.6405715172515224,0.6171875,0.3448394565439716,0.3671875,0.014589026204505978,0.015625
25,0.6398556030277268,0.59375,0.3455960580827753,0.3984375,0.01454833888949783,0.0078125
26,0.6391296749037351,0.625,0.3463611713222647,0.3671875,0.014509153774000343,0.0078125
27,0.6383934174031013,0.671875,0.3471350605307949,0.3125,0.014471522066103895,0.015625
28,0.6376465208127207,0.6171875,0.3479179845021625,0.3671875,0.01443549468511687,0.015625
29,0.6368886810785099,0.640625,0.34871019660413743,0.3515625,0.014401122317352695,0.0078125
30,0.6361195996998034,0.6875,0.34951194482671316,0.3046875,0.014368455473483472,0.0078125
31,0.635338983622685,0.6328125,0.3503234718298591,0.3515625,0.014337544547455823,0.015625
32,0.6345465451324867,0.671875,0.3511450149905436,0.3125,0.014308439876969755,0.015625
33,0.6337420017456808,0.6328125,0.35197680644879387,0.359375,0.014281191805525272,0.0078125
34,0.6329250761014082,0.7421875,0.35281907315254546,0.2578125,0.014255850746046295,0.0
35,0.6320954958528802,0.6484375,0.35367203690102406,0.34375,0.014232467246095773,0.0078125
36,0.631252993558905,0.6171875,0.35453591438639426,0.3671875,0.014211092054700796,0.015625
37,0.6303973065757922,0.671875,0.35541091723339674,0.3203125,0.01419177619081112,0.0078125
38,0.6295281769498944,0.625,0.3562972520366866,0.375,0.014174571013419,0.0
39,0.6286453513110555,0.6875,0.3571951203955713,0.3125,0.014159528293373313,0.0
40,0.627748580767237,0.640625,0.3581047189458373,0.328125,0.014146700286925686,0.03125
41,0.6268376208006079,0.5703125,0.3590262393883412,0.40625,0.014136139811051003,0.0234375
42,0.625912231165384,0.6171875,0.3599598685140262,0.3671875,0.01412790032058991,0.015625
43,0.6249721757877195,0.625,0.3609057882250153,0.359375,0.014122035987265268,0.015625
44,0.6240172226679556,0.625,0.3618641755514143,0.359375,0.014118601780630197,0.015625
45,0.623047143785544,0.6171875,0.3628352026634465,0.375,0.014117653551009494,0.0078125
46,0.6220617150069744,0.5859375,0.3638190368785238,0.40625,0.014119248114501824,0.0078125
47,0.6210607159970412,0.5625,0.36481584066284434,0.40625,0.014123443340114502,0.03125
48,0.6200439301338029,0.65625,0.36582577162708896,0.3359375,0.014130298239108172,0.0078125
49,0.6190111444275929,0.6171875,0.3668489825157741,0.359375,0.014139873056633155,0.0234375
50,0.6179621494444577,0.6015625,0.367885621189798,0.3984375,0.014152229365744395,0.0
51,0.6168967392344112,0.6328125,0.3689358306017018,0.359375,0.01416743016388699,0.0078125
52,0.6158147112649055,0.6640625,0.36999974876314573,0.328125,0.014185539971948772,0.0078125
53,0.6147158663599374,0.609375,0.37107750870408107,0.3671875,0.01420662493598151,0.0234375
54,0.6136000086452233,0.5859375,0.3721692384230797,0.4140625,0.014230752931697035,0.0
55,0.6124669454998917,0.609375,0.3732750608282593,0.375,0.014257993671849017,0.015625
56,0.6113164875151614,0.6171875,0.3743950936682225,0.3828125,0.014288418816616027,0.0
57,0.6101484484604909,0.6015625,0.3755294494524035,0.375,0.014322102087105555,0.0234375
58,0.608962645257703,0.6484375,0.37667823536019374,0.328125,0.014359119382103292,0.0234375
59,0.6077588979636114,0.5390625,0.37784155313819257,0.4609375,0.014399548898195964,0.0
60,0.6065370297616939,0.6328125,0.37901949898490644,0.3671875,0.014443471253399703,0.0
61,0.6052968669633807,0.5859375,0.38021216342218933,0.3984375,0.014490969614429961,0.015625
62,0.6040382390195494,0.6015625,0.3814196311526986,0.390625,0.014542129827752073,0.0078125
63,0.6027609785428404,0.6328125,0.3826419809026048,0.3515625,0.01459704055455482,0.015625
64,0.6014649213414328,0.609375,0.38387928524877524,0.3671875,0.014655793409791956,0.0234375
65,0.6001499064649464,0.640625,0.3851316104296151,0.3515625,0.014718483105438662,0.0078125
66,0.5988157762631593,0.578125,0.3863990161387282,0.3984375,0.014785207598112447,0.0234375
67,0.5974623764582635,0.65625,0.3876815553005284,0.3359375,0.01485606824120821,0.0078125
68,0.5960895562314009,0.5625,0.3889792738269004,0.421875,0.014931169941698732,0.015625
69,0.5946971683242597,0.6015625,0.3902922103539892,0.3671875,0.015010621321751162,0.03125
70,0.5932850691565322,0.6171875,0.39162039595815834,0.3671875,0.015094534885309445,0.015625
71,0.5918531189600742,0.59375,0.392963853850135,0.390625,0.015183027189790857,0.015625
72,0.5904011819306249,0.640625,0.39432259904633316,0.34375,0.015276219023042062,0.015625
73,0.5889291263979906,0.5390625,0.39569663801631333,0.4609375,0.01537423558569607,0.0
74,0.5874368250156146,0.59375,0.39708596830531884,0.390625,0.015477206679066583,0.015625
75,0.5859241549704938,0.578125,0.39849057813079675,0.3984375,0.01558526689870958,0.0234375
76,0.5843909982144313,0.5234375,0.39991044595179503,0.453125,0.015698555833773702,0.0234375
77,0.5828372417176446,0.578125,0.40134554001010353,0.3828125,0.015817218272251892,0.0390625
78,0.5812627777457788,0.484375,0.40279581784198704,0.5,0.015941404412234114,0.015625
79,0.5796675041614044,0.6015625,0.4042612257593477,0.390625,0.01607127007924796,0.0078125
80,0.5780513247511058,0.59375,0.40574169829913687,0.390625,0.01620697694975736,0.015625
81,0.5764141495792942,0.5625,0.4072371576398347,0.4375,0.016348692780871203,0.0
82,0.5747558953699019,0.46875,0.4087475129838064,0.5,0.016496591646291754,0.03125
83,0.573076485917137,0.6484375,0.41027265990435446,0.34375,0.01665085417850857,0.0078125
84,0.5713758525264993,0.6796875,0.41181247965628587,0.3125,0.016811667817214944,0.0078125
85,0.569653934487269,0.515625,0.4133668384488383,0.484375,0.016979227063892675,0.0
86,0.5679106795776986,0.65625,0.41493558667982705,0.328125,0.017153733742474437,0.015625
87,0.5661460446041375,0.515625,0.4165185581299093,0.453125,0.017335397265953015,0.03125
88,0.5643599959753313,0.5234375,0.41811556911590786,0.4453125,0.01752443490876088,0.03125
89,0.5625525103131206,0.5234375,0.41972641760218626,0.4609375,0.01772107208469327,0.015625
90,0.5607235751007684,0.4921875,0.4213508822691405,0.5,0.017925542630091162,0.0078125
91,0.5588731893701143,0.5390625,0.4229887215379479,0.4453125,0.01813808909193786,0.015625
92,0.5570013644287313,0.5078125,0.4246396725508158,0.4765625,0.018358963020452885,0.015625
93,0.555108124628227,0.59375,0.4263034501060826,0.3828125,0.018588425265690475,0.0234375
94,0.5531935081747751,0.5625,0.42797974554766083,0.421875,0.018826746277564057,0.015625
95,0.551257567982913,0.5859375,0.42966822560846174,0.390625,0.019074206408625286,0.0234375
96,0.5493003725735575,0.5234375,0.4313685312076202,0.453125,0.019331096218822383,0.0234375
97,0.5473220070171106,0.53125,0.4330802762015389,0.46875,0.019597716781350458,0.0
98,0.545322573922419,0.609375,0.43480304608899867,0.3828125,0.019874379988582328,0.0078125
99,0.5433021944722262,0.484375,0.43653639667084015,0.484375,0.020161408856933755,0.03125
100,0.5412610095056213,0.515625,0.43827985266500885,0.4609375,0.020459137829369978,0.0234375
101,0.5391991806478198,0.5,0.4400329062780801,0.4921875,0.02076791307410006,0.0078125
102,0.5371168914874269,0.5390625,0.44179501573474056,0.4296875,0.021088092777832596,0.03125
103,0.5350143488011263,0.578125,0.44356560376709586,0.3984375,0.021420047431777816,0.0234375
104,0.5328917838254994,0.5546875,0.4453440560661228,0.4140625,0.02176416010837778,0.03125
105,0.5307494535754138,0.546875,0.4471297196980584,0.4296875,0.022120826726527765,0.0234375
106,0.5285876422081259,0.4921875,0.44892190148905897,0.46875,0.022490456302815095,0.0390625
107,0.5264066624319168,0.5234375,0.45071986638203404,0.453125,0.02287347118604926,0.0234375
108,0.5242068569577158,0.46875,0.4525228357701987,0.5,0.02327030727208551,0.03125
109,0.5219885999917737,0.4765625,0.454329985812572,0.515625,0.02368141419565426,0.0078125
110,0.5197522987670097,0.53125,0.4561404457373901,0.4609375,0.024107255495600197,0.0078125
111,0.5174983951101855,0.59375,0.4579532961402075,0.3984375,0.024548308749607017,0.0078125
112,0.5152273670415473,0.5390625,0.45976756728431717,0.4140625,0.025005065674135633,0.046875
113,0.5129397304030183,0.5078125,0.46158223741204363,0.4921875,0.025478032184938004,0.0
114,0.5106360405104322,0.4765625,0.463396231076446,0.5078125,0.025967728413121748,0.015625
115,0.5083168938246523,0.4765625,0.46520841750401143,0.5,0.02647468867133626,0.0234375
116,0.5059829296357432,0.4765625,0.4670176090000278,0.484375,0.026999461364229076,0.0390625
117,0.5036348317536349,0.484375,0.46882255940948403,0.5,0.02754260883688111,0.015625
118,0.5012733301979471,0.5234375,0.4706219626475773,0.3984375,0.02810470715447565,0.078125
119,0.4988992028788404,0.546875,0.47241445131517124,0.4375,0.028686345805988344,0.015625
120,0.4965132772599083,0.5078125,0.47419859541588505,0.4609375,0.029288127324206707,0.03125
121,0.4941164319932464,0.4296875,0.47597290119285074,0.5546875,0.02991066681390288,0.015625
122,0.49170959851592,0.59375,0.4777358101045871,0.359375,0.030554591379492888,0.046875
123,0.4892937625961115,0.53125,0.47948569796086077,0.4375,0.031220539443027752,0.03125
124,0.48686996581626873,0.484375,0.48122087424085275,0.5,0.03190915994287854,0.015625
125,0.4844393069796019,0.46875,0.4829395816173915,0.515625,0.032621111403006636,0.015625
126,0.4820029434252968,0.5390625,0.4846399957124438,0.4609375,0.033357060862259404,0.0
127,0.47956209223683605,0.515625,0.4863202251104573,0.4453125,0.034117682652706705,0.0390625
128,0.47711803132686337,0.4453125,0.48797831165749006,0.5390625,0.03490365701564658,0.015625
129,0.474672100381093,0.5546875,0.48961223107534085,0.4296875,0.03571566854356621,0.015625
130,0.472225701642876,0.4453125,0.49121989392106047,0.5234375,0.03655440443606363,0.03125
131,0.46978030051921,0.4375,0.49279914692326804,0.53125,0.037420552557522004,0.03125
132,0.4673374259882155,0.453125,0.49434777472757974,0.484375,0.038314799284204816,0.0625
133,0.4648986707874482,0.4765625,0.495863502084139,0.4375,0.03923782712841284,0.0859375
134,0.4624656913618633,0.4765625,0.4973439965106974,0.4765625,0.04019031212743937,0.046875
135,0.4600402075498404,0.4609375,0.49878687146487355,0.4921875,0.04117292098528606,0.046875
136,0.45762400198542286,0.3828125,0.5001896900590883,0.578125,0.042186307955488785,0.0390625
137,0.4552189191948561,0.5234375,0.5015499693511828,0.453125,0.043231111453961156,0.0234375
138,0.4528268643656458,0.4453125,0.5028651852428319,0.484375,0.04430795039152234,0.0703125
139,0.4504498017667271,0.5234375,0.5041327780165183,0.40625,0.0454174202167547,0.0703125
140,0.4480897527989617,0.3671875,0.5053501585399811,0.546875,0.046560088661057236,0.0859375
141,0.4457487936560892,0.46875,0.5065147151646587,0.484375,0.04773649117925203,0.046875
142,0.44342905257747556,0.375,0.5076238213416464,0.5703125,0.04894712608087809,0.0546875
143,0.4411327066755458,0.4609375,0.5086748439750515,0.5078125,0.050192449349402715,0.03125
144,0.43886197832268425,0.421875,0.5096651525283078,0.5390625,0.051472869149007894,0.0390625
145,0.4366191310846488,0.484375,0.5105921288939551,0.484375,0.052788740021396115,0.03125
146,0.43440646519019216,0.4140625,0.511453178031589,0.53125,0.054140356778218705,0.0546875
147,0.43222631252962757,0.4921875,0.5122457393720916,0.4140625,0.05552794809828083,0.09375
148,0.4300810311785105,0.390625,0.5129672989788625,0.5390625,0.05695166984262709,0.0703125
149,0.4279729994464586,0.453125,0.5136154024485721,0.4765625,0.05841159810496946,0.0703125
150,0.42590460945535924,0.421875,0.5141876685249558,0.5,0.059907722019684924,0.078125
151,0.42387826025583375,0.5234375,0.5146818033893913,0.40625,0.06143993635477496,0.0703125
152,0.4218963504958021,0.390625,0.515095615581468,0.53125,0.06300803392272995,0.078125
153,0.4199612706602953,0.4296875,0.5154270314915526,0.53125,0.0646116978481521,0.0390625
154,0.41807539490725654,0.4609375,0.5156741113555172,0.46875,0.06625049373722626,0.0703125
155,0.41624107252990716,0.4375,0.5158350656694544,0.5,0.06792386180063843,0.0625
156,0.41446061908227155,0.40625,0.515908271929458,0.4921875,0.06963110898827056,0.1015625
157,0.4127363072105857,0.40625,0.5158922915885494,0.53125,0.07137140120086496,0.0625
158,0.4110703572394824,0.421875,0.5157858871097495,0.5,0.0731437556507683,0.078125
159,0.4094649275679587,0.375,0.5155880389813186,0.5078125,0.07494703345072276,0.1171875
160,0.4079221049361007,0.3671875,0.5152979625475526,0.546875,0.07677993251634689,0.0859375
161,0.40644389462924824,0.4140625,0.514915124496447,0.46875,0.07864098087430488,0.1171875
162,0.4050322106916363,0.3515625,0.5144392588343216,0.5625,0.08052853047404215,0.0859375
163,0.4036888662264134,0.3828125,0.5138703821673917,0.5703125,0.08244075160619488,0.046875
164,0.4024155638632052,0.4296875,0.513208808101608,0.515625,0.08437562803518689,0.0546875
165,0.40121388647794,0.3671875,0.5124551605651585,0.5234375,0.08633095295690156,0.109375
166,0.4000852882523602,0.3671875,0.5116103858531711,0.53125,0.0883043258944688,0.1015625
167,0.39903108616239275,0.3671875,0.5106757631916798,0.5234375,0.09029315064592752,0.109375
168,0.39805245198524414,0.34375,0.5096529136181507,0.5625,0.0922946343966052,0.09375
169,0.39715040491461306,0.3828125,0.5085438069790791,0.5390625,0.09430578810630783,0.078125
170,0.39632580487169283,0.359375,0.507350766851659,0.546875,0.09632342827664811,0.09375
171,0.395579346596611,0.46875,0.5060764732064995,0.4453125,0.09834418019688947,0.0859375
172,0.39491155460055494,0.390625,0.5047239626420169,0.53125,0.10036448275742832,0.078125
173,0.39432277905305657,0.390625,0.503296626038579,0.5078125,0.1023805949083644,0.1015625
174,0.3938131926717448,0.4140625,0.5017982035017791,0.484375,0.10438860382647595,0.1015625
175,0.393382788673349,0.3828125,0.5002327764893246,0.5078125,0.1063844348373264,0.109375
176,0.39303137983492054,0.46875,0.4986047570448428,0.4609375,0.10836386312023666,0.0703125
177,0.39275859870321317,0.4765625,0.49691887409418295,0.390625,0.11032252720260398,0.1328125
178,0.39256389897804855,0.34375,0.4951801567952203,0.5625,0.11225594422673109,0.09375
179,0.39244655808245665,0.390625,0.49339391497031065,0.484375,0.11415952694723279,0.125
180,0.3924056809185946,0.4609375,0.49156571669083743,0.4296875,0.11602860239056804,0.109375
181,0.3924402047941341,0.46875,0.4897013631251216,0.453125,0.11785843208074438,0.078125
182,0.39254890548920124,0.4140625,0.4878068608035464,0.453125,0.11964423370725238,0.1328125
183,0.39273040441931684,0.4375,0.4858883914972858,0.421875,0.12138120408339736,0.140625
184,0.3929831768353909,0.3515625,0.48395227994859924,0.46875,0.12306454321600993,0.1796875
185,0.3933055609879635,0.3203125,0.48200495973033175,0.5,0.12468947928170478,0.1796875
186,0.3936957681698345,0.359375,0.48005293754907236,0.515625,0.1262512942810932,0.125
187,0.39415189353926816,0.3984375,0.4781027563394121,0.5,0.12774535012131974,0.1015625
188,0.39467192761537456,0.4453125,0.47616095752499127,0.4609375,0.12916711485963417,0.09375
189,0.3952537683282779,0.375,0.4742340428446753,0.546875,0.13051218882704685,0.078125
190,0.395895233499525,0.40625,0.4723284361585058,0.4765625,0.13177633034196923,0.1171875
191,0.3965940736230177,0.4375,0.4704504456574133,0.4453125,0.132955480719569,0.1171875
192,0.39734798481371947,0.390625,0.46860622690259507,0.515625,0.13404578828368557,0.09375
193,0.39815462179055977,0.4140625,0.46680174711467465,0.3984375,0.13504363109476558,0.1875
194,0.3990116107613819,0.3828125,0.4650427511191997,0.46875,0.13594563811941834,0.1484375
195,0.3999165620814028,0.4375,0.4633347293338173,0.4140625,0.13674870858478,0.1484375
196,0.4008670825624223,0.359375,0.46168288815396347,0.5390625,0.13745002928361424,0.1015625
197,0.4018607873177712,0.4140625,0.460092123058647,0.4296875,0.1380470896235818,0.15625
198,0.40289531103754417,0.3515625,0.45856699471665907,0.4765625,0.13853769424579676,0.171875
199,0.40396831859980564,0.359375,0.4571117083272252,0.484375,0.1389199730729692,0.15625
